timestamp [s];actual_current [A];target_current [A];timestep [us];motor_torque [N.m];encoder_paddle_pos [deg];speed estimate [deg/s];speed estimate hall [deg/s];acc estimate [deg/s^2];acc estimate hall [deg/s^2];hall_voltage [V];est angle hall [deg];filtered hall speed [deg/s];filtered hall acc [deg/s^2];cutoff freq [Hz];stiffness [N.m/deg];damping [N.m/deg];rest position [deg];ref_pos [deg];k_p;k_i;k_d;set PID 0/1;start dry test 0/1;friction torque [N.m];Dry friction compensation;Viscous friction compensation;Gravity compensation;Virtual wall;Virtual wall automatic;Wall stiffness [N.m/deg];Wall damping [N.m/deg/s];zero_cross_count;Wall filter [Hz];set EMG torque;set EMG position;EMG value [V];Filtered EMG value [V];EMG time threshold [us];EMG diff [V];EMG min [V];EMG max [V];EMG offset [V];EMG window;EMG mean [V];EMG precise;EMG hold active;EMG hold value [V];EMG hold thres [V];led_0 [0.0-1.0];led_1 [0.0-1.0];led_2 [0.0-1.0];led_3 [0.0-1.0]
184.53645;-0.004003158771;0;350;0;-29.0859375;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;0;0;1.357142925;1.330781579;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.0007352176472;0;0;0;0.001000000047;1;0;0;0
184.5375;-0.004003158771;0;350;0;-29.0859375;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;0;0;1.36202693;1.330637097;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.0007368839579;0;0;0;0.001000000047;1;0;0;0
184.53855;-0.004003158771;0;350;0;-29.0859375;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;0;0;1.358974457;1.332489729;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.0007409321261;0;0;0;0.001000000047;1;0;0;0
184.5396;-0.004003158771;0;350;0;-29.0859375;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;0;0;1.350427389;1.331669807;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.0007445859956;0;0;0;0.001000000047;1;0;0;0
184.5403;-0.004003158771;0;350;0;-29.0859375;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;0;0;1.336385965;1.331890702;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.0007468855474;0;0;0;0.001000000047;1;0;0;0
184.54135;-0.004003158771;0;350;0;-29.0859375;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;0;0;1.31929183;1.331914067;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.0007504521054;0;0;0;0.001000000047;1;0;0;0
184.5424;-0.004003158771;0;350;0;-29.0859375;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;0;0;1.278388381;1.329917789;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.0007539766957;0;0;0;0.001000000047;1;0;0;0
184.54345;-0.004003158771;0;350;0;-29.0859375;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;0;0;1.322344422;1.329998732;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.0007581029786;0;0;0;0.001000000047;1;0;0;0
184.5445;-0.004003158771;0;350;0;-29.0859375;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;0;0;1.334554434;1.326909423;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.0007622358971;0;0;0;0.001000000047;1;0;0;0
184.54555;-0.004003158771;0;350;0;-29.0859375;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;0;0;1.344932914;1.32584548;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.0007640898111;0;0;0;0.001000000047;1;0;0;0
